TIPO_GRUPO,NOMBRE_MASACRE,MUNICIPIO,DEPARTAMENTO,LATITUDE,LONGITUDE,IMAGENES,URL,FECHA,GRUPO_ARMADO,ANIO
BACRIM,MEDELLÍN - ABRIL 2008,MEDELLÍN,ANTIOQUIA,6.250182,-75.584417,http://rutasdelconflicto.com/admin/imagenes/medellinabril2008.jpg,http://rutasdelconflicto.com/interna.php?masacre=583,4/08/2008,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2008
BACRIM,BARBACOAS 2009,BARBACOAS,NARINO,1.705366,-78.157139,http://rutasdelconflicto.com/admin/imagenes/barbacoassemana.jpeg,http://rutasdelconflicto.com/interna.php?masacre=592,2/19/2009,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2009
BACRIM,OLAYA HERRERA,OLAYA HERRERA,NARINO,2.347327,-78.326021,http://rutasdelconflicto.com/admin/imagenes/olayaherreraalcaldia.jpg,http://rutasdelconflicto.com/interna.php?masacre=601,11/22/2006,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2006
BACRIM,EL PALMAR,LEIVA,NARINO,1.932712,-77.381528,http://rutasdelconflicto.com/admin/imagenes/leivaalcaldia.jpg,http://rutasdelconflicto.com/interna.php?masacre=602,12/27/2007,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2007
BACRIM,LEIVA,LEIVA,NARINO,1.935157,-77.305948,http://rutasdelconflicto.com/admin/imagenes/leivaalcaldia(1).jpg,http://rutasdelconflicto.com/interna.php?masacre=603,1/08/2008,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2008
BACRIM,BARBACOAS 2008,BARBACOAS,NARINO,1.705366,-78.157139,http://rutasdelconflicto.com/admin/imagenes/barbacoassemana(1).jpeg,http://rutasdelconflicto.com/interna.php?masacre=604,3/22/2008,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2008
BACRIM,CAJAPÍ,TUMACO,NARINO,1.51259,-78.67946,http://rutasdelconflicto.com/admin/imagenes/tumacoluisangelmurcia(2).jpeg,http://rutasdelconflicto.com/interna.php?masacre=607,5/06/2009,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2009
BACRIM,EL DIVISO - MAYO DE 2009,BARBACOAS,NARINO,1.347418,-78.243653,http://rutasdelconflicto.com/admin/imagenes/BarbacoasSemana.jpeg,http://rutasdelconflicto.com/interna.php?masacre=608,5/10/2009,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2009
BACRIM,TUMACO - AGOSTO DE 2009,TUMACO,NARINO,1.659219,-78.648733,http://rutasdelconflicto.com/admin/imagenes/tumacoluisangelmurcia(3).jpeg,http://rutasdelconflicto.com/interna.php?masacre=610,8/26/2009,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2009
BACRIM,GUAYACANA - OCTUBRE DE 2009,TUMACO,NARINO,1.435626,-78.423951,http://rutasdelconflicto.com/admin/imagenes/tumacoluisangelmurcia(4).jpeg,http://rutasdelconflicto.com/interna.php?masacre=611,10/28/2009,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2009
BACRIM,POLICARPA,POLICARPA,NARINO,1.633651,-77.466415,http://rutasdelconflicto.com/admin/imagenes/policarpajonathanbock.jpeg,http://rutasdelconflicto.com/interna.php?masacre=612,3/28/2010,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2010
BACRIM,EL PLATEADO,ARGELIA,CAUCA,2.466184,-77.233378,http://rutasdelconflicto.com/admin/imagenes/ArgeliaAlcaldia(1).JPG,http://rutasdelconflicto.com/interna.php?masacre=658,3/03/2007,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2007
BACRIM,TIMBIQUÍ 2011,TIMBIQUÍ,CAUCA,2.766685,-77.633303,http://rutasdelconflicto.com/admin/imagenes/TimbiquiLuisAngelMurcia.jpeg,http://rutasdelconflicto.com/interna.php?masacre=661,4/20/2011,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2011
BACRIM,GUAPI,GUAPI,CAUCA,2.566166,-77.882477,http://rutasdelconflicto.com/admin/imagenes/GuapiLuisAngelMurcia.jpeg,http://rutasdelconflicto.com/interna.php?masacre=662,4/29/2011,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2011
BACRIM,CÁCERES,CÁCERES,ANTIOQUIA,7.675607,-75.339174,http://rutasdelconflicto.com/admin/imagenes/caceres.jpg,http://rutasdelconflicto.com/interna.php?masacre=668,4/07/2009,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2009
BACRIM,YALÍ 2009,YALÍ,ANTIOQUIA,6.685067,-74.848695,http://rutasdelconflicto.com/admin/imagenes/yali2009.jpg,http://rutasdelconflicto.com/interna.php?masacre=669,10/13/2009,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2009
BACRIM,CAUCASIA 2011,CAUCASIA,ANTIOQUIA,7.72494,-74.788796,http://rutasdelconflicto.com/admin/imagenes/caucasia2011.jpg,http://rutasdelconflicto.com/interna.php?masacre=680,3/09/2011,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2011
BACRIM,MEDELLÍN - JULIO 2008,MEDELLÍN,ANTIOQUIA,6.255706,-75.618689,http://rutasdelconflicto.com/admin/imagenes/medellinjulio2008.jpg,http://rutasdelconflicto.com/interna.php?masacre=683,7/17/2008,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2008
BACRIM,TURBO - MAYO 2007,TURBO,ANTIOQUIA,8.000013,-76.633311,http://rutasdelconflicto.com/admin/imagenes/turbomayo2007.jpg,http://rutasdelconflicto.com/interna.php?masacre=688,5/16/2007,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2007
BACRIM,MEDELLÍN 2010,MEDELLÍN,ANTIOQUIA,6.277014,-75.596798,http://rutasdelconflicto.com/admin/imagenes/medellin2010.jpg,http://rutasdelconflicto.com/interna.php?masacre=693,9/19/2010,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2010
BACRIM,CAUCASIA 2010,CAUCASIA,ANTIOQUIA,7.983418,-75.199753,http://rutasdelconflicto.com/admin/imagenes/caucasia2010.jpg,http://rutasdelconflicto.com/interna.php?masacre=694,5/27/2010,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2010
BACRIM,ENVIGADO,ENVIGADO,ANTIOQUIA,6.167382,-75.587709,http://rutasdelconflicto.com/admin/imagenes/envigado.jpg,http://rutasdelconflicto.com/interna.php?masacre=700,7/02/2010,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2010
BACRIM,EL PORVENIR,TULUÁ,VALLE,4.030414,-75.968492,http://rutasdelconflicto.com/admin/imagenes/TuluaLuisAngelMurcia.jpg,http://rutasdelconflicto.com/interna.php?masacre=701,3/20/2006,BANDAS CRIMINALES EMERGENTES - BACRIM (2006  - ),2006
